Rank	Bib	Athlete	NOC	Total				
1	00607	DE ALMEIDA COSTA Cleu	BRA	8.85	1ST Prize	. Men's Cailifoquan (Choy Lay Fut)-Group D	Wushu Taolu	Emeishan
2	00618	MASCHERPE CUELBAS Joao Pedro	BRA	8.82	2ND Prize	. Men's Cailifoquan (Choy Lay Fut)-Group D	Wushu Taolu	Emeishan
3	00606	DA SILVA CAPELAZZO Anthony	BRA	8.8	3RD Prize	. Men's Cailifoquan (Choy Lay Fut)-Group D	Wushu Taolu	Emeishan
4	01402	AZEVEDO Miguel Angelo	PRT	8.71	3RD Prize	. Men's Cailifoquan (Choy Lay Fut)-Group D	Wushu Taolu	Emeishan
5	01908	GKOUMAS Anastasios	GRC	8.55		. Men's Cailifoquan (Choy Lay Fut)-Group D	Wushu Taolu	Emeishan
1	03326	YAP Wei Sheng Wilson	SGP	8.82	1ST Prize	. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
2	03316	NG Shao Chun	SGP	8.79	2ND Prize	. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
3	01922	NISIOTIS Nikolaos	GRC	8.77	2ND Prize	. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
4	02910	MAŚNICKI Konrad	POL	8.64	3RD Prize	. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
5	00401	DAOUDI Moubarak	BEL	8.61	3RD Prize	. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
6	01517	TESTARDINI Matteo	ITA	8.6		. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
7	01207	MIRATSKY Jakub	CZE	8.56		. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
8	04353	ULLAH Mohammad Wahid	USA	8.5		. Men's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
1	00927	YANG Fuhua	CHN	9.05	1ST Prize	. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
2	02202	CHARLES Sutanto	IDN	8.85	2ND Prize	. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
3	05006	TABAROV Fotekh	TJK	8.75	2ND Prize	. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
4	01316	NASR IBRAHIM Tawﬁk Mossad Salem	EGY	8.74	3RD Prize	. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
5	04604	ESWAL Abhijeet	IND	8.65	3RD Prize	. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
6	02907	KARWOWSKI Jakub	POL	8.65	3RD Prize	. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
7	04611	SHAIK Aman Pasha	IND	8.63		. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
8	02913	PAWŁOWICZ Mateusz Robert	POL	8.57		. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
9	02916	SZPOCZEK Michał Krzysztof	POL	8.56		. Men's Yongchunquan (Wing Chun)-Group D	Wushu Taolu	Emeishan
1	03313	LOW Shun Quan Benette	SGP	9.02	1ST Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
2	02019	NGAN Lok Man	HKG	9.01	1ST Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
3	05201	CARELLA Nelso Cesar	ARG	8.92	1ST Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
4	04108	KAMA Muhammet Can	TUR	8.88	2ND Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
5	04202	FESCHENKO Daniil	UKR	8.84	2ND Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
6	04409	PHAM Nguyen Hoang Phuc	VNM	8.8	2ND Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
7	01807	KROETZ Benjamin Fritz Ludwig	DEU	8.79	2ND Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
8	02901	BILUT Tomasz	POL	8.79	2ND Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
9	01708	MAMEDOVI Rauli	GEO	8.77	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
10	03014	IOANA Mihai	ROU	8.77	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
11	03009	HASIEGANU Victor	ROU	8.74	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
12	00604	BORGES COUTINHO GALLO Iuri	BRA	8.7	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
13	03303	CHENG Kei Win	SGP	8.7	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
14	00615	KAZUO GONÇALVES MIYASAKA KauãN	BRA	8.68	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
15	02825	SANCHEZ ROCHA Hugo Aurelio	MEX	8.68	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
16	00703	Cam'Ron Yiu Fung TSANG	GBR	8.67	3RD Prize	. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
17	05005	NURMATOV Sherzod	TJK	8.65		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
18	01513	SIRTO Alessandro	ITA	8.63		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
19	01915	LAMPADAS Konstantinos	GRC	8.62		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
20	03512	JALI Khayelihle Goodenough	ZAF	8.6		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
21	04328	KEYS Aaron Jamaal	USA	8.6		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
22	05001	ABDULLO-ZODA Fayzullo	TJK	8.57		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
23	05007	VALIEV Ilyoskhon	TJK	8.55		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
24	04308	CHOI Alexander Martin	USA	8.54		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
25	04411	PHAN Van Anh Hao	VNM	7.77		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
	03204	Thierno DIBA	SEN	(DNS)		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
	01515	SIRTO Elisabetta	ITA	(DNS)		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
	00201	MOHAMMAD SHUAIB Ayubi	AFG	(DNS)		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
	05302	MOHAMMED Mugahed Mohammed Hussein	YEM	(DNS)		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
	00202	SAREER KHAN Zadran	AFG	(DNS)		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
	05301	LWZA Bassam Ahmed Ali Rezq	YEM	(DNS)		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
	00303	ARAB Nadir	DZA	(DNS)		. Men's Other Nanquan Routines -Group D	Wushu Taolu	Emeishan
1	03801	AVAGYAN Artashes	ARM	8.81	1ST Prize	. Men's Hongjiaquan (Hung Gar)-Group E	Wushu Taolu	Emeishan
2	03301	ANG Boon Seng Royce	SGP	8.76	2ND Prize	. Men's Hongjiaquan (Hung Gar)-Group E	Wushu Taolu	Emeishan
3	00610	DIMANFA BONGIANNI Marcos	BRA	8.62	3RD Prize	. Men's Hongjiaquan (Hung Gar)-Group E	Wushu Taolu	Emeishan
4	00617	LEUTZ Richard	BRA	8.61	3RD Prize	. Men's Hongjiaquan (Hung Gar)-Group E	Wushu Taolu	Emeishan
5	03101	CARRETERO MEDIAVILLA Jose	ESP	8.56		. Men's Hongjiaquan (Hung Gar)-Group E	Wushu Taolu	Emeishan
6	02005	CHEUNG Wing Kit	HKG	8.55		. Men's Hongjiaquan (Hung Gar)-Group E	Wushu Taolu	Emeishan
1	01514	SIRTO Edoardo Francesco Maria	ITA	8.7	1ST Prize	. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
2	01416	TAVARES DE ALMEIDA Sergio	PRT	8.69	2ND Prize	. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
3	00624	OLIVEIRA SANTOS Italo Jorge	BRA	8.67	2ND Prize	. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
4	01916	LAMPADAS Theodoros	GRC	8.66	3RD Prize	. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
5	01941	ZERVAS Chrisovalantis	GRC	8.65	3RD Prize	. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
6	00602	ALMEIDA DA SILVA Evandro	BRA	8.63		. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
7	01918	MAKRIS Athanasios	GRC	8.61		. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
8	01926	PAPACHARALAMPOUS Vasileios	GRC	8.58		. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
	03201	Boubacar SAMBOU	SEN	(DNS)		. Men's Other Nanquan Routines Group E	Wushu Taolu	Emeishan
1	00904	CHEN Zhigang	CHN	8.89	1ST Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
2	02305	OCHI Kenta	JPN	8.84	2ND Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
3	04512	PUZIS Rami	ISR	8.82	2ND Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
4	01924	PANAGOPOULOS Christos	GRC	8.71	2ND Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
5	02106	HERCZEG Andras	HUN	8.71	3RD Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
6	02302	FUKUNISHI Tadashi	JPN	8.66	3RD Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
7	04343	NG Chester Tse King	USA	8.64	3RD Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
8	03518	SMOOK Christiaan Harold	ZAF	8.61	3RD Prize	. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
9	00504	HUANACUNI MAMANI Fernando	BOL	8.61		. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
10	00616	KRIGGER DOS SANTOS Rodrigo	BRA	8.6		. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
11	04004	HAMLI Othmane	TUN	8.55		. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
12	03012	IOANA Florin	ROU	8.55		. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
13	03509	JACOBS Bernard Paul	ZAF	8.54		. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
	03202	Mamadou FALL	SEN	(DNS)		. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
	02402	BEIBALAYEV Artyom	KAZ	(DNS)		. Men's Shaolinquan-Group E	Wushu Taolu	Emeishan
1	00620	MINORU TANOSHI SéRgio	BRA	8.75	1ST Prize	. Men's Xingyiquan- Group E	Wushu Taolu	Emeishan
2	03111	RAJA CATALA Vicente	ESP	8.73	2ND Prize	. Men's Xingyiquan- Group E	Wushu Taolu	Emeishan
3	00920	TIAN Hongwei	CHN	8.72	3RD Prize	. Men's Xingyiquan- Group E	Wushu Taolu	Emeishan
4	01801	CHUCHOLOWSKI Frederic Emanuel	DEU	8.66	3RD Prize	. Men's Xingyiquan- Group E	Wushu Taolu	Emeishan
5	04906	FERNANDO Punchividanelage Mahesh Deepal	LKA	8.58		. Men's Xingyiquan- Group E	Wushu Taolu	Emeishan
6	03521	VAN DER MESCHT Thor	ZAF	8.52		. Men's Xingyiquan- Group E	Wushu Taolu	Emeishan
1	00913	JING Xuecai	CHN	8.91	1ST Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
2	00936	ZHENG Wu	CHN	8.87	1ST Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
3	01302	ALKELANY Farouk Alkelany	EGY	8.74	2ND Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
4	01405	COLACO DAVID Daniel Goncalo	PRT	8.73	2ND Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
5	03108	MORALES GARCIA Jose Luis	ESP	8.7	2ND Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
6	00105	ROMERO Hrod	FRA	8.69	3RD Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
7	02810	ESCALANTE PEINADO Ivan Alberto	MEX	8.68	3RD Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
8	00628	RODRIGUES DOS REIS Pedro Henrique	BRA	8.68	3RD Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
9	00912	JIA Meng	CHN	8.68	3RD Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
10	02508	MAK Sherman Shu Hang	AUS	8.68	3RD Prize	. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
11	01410	MARTINS GONCALVES Marco Antonio	PRT	8.67		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
12	02909	LICHACZ Roman Andrzej	POL	8.66		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
13	03103	GALLARDO GONZALO Ivan	ESP	8.65		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
14	02306	OIE Hidetaro	JPN	8.57		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
15	04703	CHOO Hing How	MYS	8.57		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
16	04307	CHIATOVICH Aaron Joshua	USA	8.5		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
	04917	LORENSU HEWAGE Nuwan Sanjeewa	LKA	(DNS)		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
	00904	CHEN Zhigang	CHN	(DNS)		. Men's Other Barehand Routines-Group E	Wushu Taolu	Emeishan
1	00935	ZHAO Chuanhui	CHN	8.84	1ST Prize	. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
2	02308	OTAKA Kazuhiko	JPN	8.7	2ND Prize	. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
3	03308	KWAN Siew Hung	SGP	8.7	3RD Prize	. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
4	00905	CHEN Zuobin	CHN	8.66	3RD Prize	. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
5	00605	DA ROSA Carlos Alberto	BRA	8.62		. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
6	03508	HACKNER Allan Jonathan	ZAF	8.61		. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
7	03902	LOPATKIN Evgenii	KGZ	8.6		. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
	03907	SEMAEV Oleg	KGZ	(DNS)		. Men's Other Barehand Routines-Group F	Wushu Taolu	Emeishan
1	04364	WRINN Benjamin Charles	USA	8.69	1ST Prize	. Men's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
2	02410	PETRAKOVSKIY Denis	KAZ	8.68	2ND Prize	. Men's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
3	04110	KUCUKAKYUZ Kaan	TUR	8.66	3RD Prize	. Men's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
4	02012	LAM Yik Sun, Nathaniel	HKG	8.61	3RD Prize	. Men's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
5	03112	SILVA VERA Miguel	ESP	8.6		. Men's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
6	01504	BAZZARA Mario Faris	ITA	8.57		. Men's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
7	01314	ABDALLA WAEL Mostafa Abdelkarim	EGY	8.49		. Men's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
1	04366	XIAN Daniel Haocheng	USA	8.73	1ST Prize	. Men's Pudao -Group C	Wushu Taolu	Emeishan
2	02804	ANTILLON MALDONADO Cristian Ricardo	MEX	8.69	2ND Prize	. Men's Pudao -Group C	Wushu Taolu	Emeishan
3	01919	MAKRIS Panagiotis	GRC	8.67	3RD Prize	. Men's Pudao -Group C	Wushu Taolu	Emeishan
4	01710	ONIANI Giorgi	GEO	8.65	3RD Prize	. Men's Pudao -Group C	Wushu Taolu	Emeishan
5	01903	BREZETOS Georgios	GRC	8.65		. Men's Pudao -Group C	Wushu Taolu	Emeishan
6	02806	BOJORQUEZ LOPEZ Roger	MEX	8.62		. Men's Pudao -Group C	Wushu Taolu	Emeishan
1	01301	ADAM AYMAN Morsi Aboelabbas	EGY	8.79	1ST Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
2	04357	WANG Bryant Xu	USA	8.75	1ST Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
3	02007	HO Ching Hin	HKG	8.75	2ND Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
4	04354	VON DEM BRUCH Noah James	USA	8.71	2ND Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
5	04316	FARR Preston Minghan	USA	8.71	2ND Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
6	04349	SHEN Justin	USA	8.7	2ND Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
7	04313	DJUNAIDY Dexton Jax	USA	8.7	3RD Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
8	00627	PRADO DE MELO Jorge Augusto	BRA	8.63	3RD Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
9	01518	TURCHIAROLO Gaetano Attilio	ITA	8.63	3RD Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
10	01320	ZIAD AHMED Samy Mohamed	EGY	8.63	3RD Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
11	02411	TELESSINOV Arman	KAZ	8.62	3RD Prize	. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
12	05104	CHEONG Io Kei	MAC	8.61		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
13	04306	CHEN Zheyu	USA	8.61		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
14	01308	MAHMOUD AHMED Abdalla Abdelhalim	EGY	8.6		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
15	04924	WITHANAGE Oshan Chalakshana	LKA	8.58		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
16	03017	MIU Andrei Eduard	ROU	8.57		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
17	01806	KAMPS Darius	DEU	8.55		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
18	02609	SEMYESHKIN Konstantin	LVA	8.54		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
	00304	BENSADOUNE Haithem	DZA	(DNS)		. Men's Other Single-weapon Routines-Group C	Wushu Taolu	Emeishan
1	00110	YANG Josepha	FRA	9.11	1ST Prize	. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
2	01802	DISARO Chantal	DEU	8.96	2ND Prize	. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
3	01501	ABIS Sonia	ITA	8.89	2ND Prize	. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
4	01808	KRON Yoni Shan Marina	DEU	8.89	3RD Prize	. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
5	04104	AKYUZ Zeynep Makbule	TUR	8.87	3RD Prize	. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
6	02818	MEDRANO MENDOZA Yessenia Arizbeth	MEX	8.82	3RD Prize	. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
7	03901	KOKUMBEK KYZY Eles	KGZ	8.72		. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
8	02809	DE LA ROSA LIRA Grace Guadalupe	MEX	8.66		. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
9	04005	HEMLI Sirine	TUN	8.65		. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
10	04317	FRANCO Luna Magdalena	USA	8.65		. Women's Baguazhang-Group D	Wushu Taolu	Emeishan
1	00933	ZHANG Xue	CHN	9.07	1ST Prize	. Women's Bajiquan-Group D	Wushu Taolu	Emeishan
2	02027	YEUNG Michelle	HKG	8.96	2ND Prize	. Women's Bajiquan-Group D	Wushu Taolu	Emeishan
3	04208	KRYSKO Alina	UKR	8.87	3RD Prize	. Women's Bajiquan-Group D	Wushu Taolu	Emeishan
4	02815	LIRA ACOSTA Andrea Sulim	MEX	8.85	3RD Prize	. Women's Bajiquan-Group D	Wushu Taolu	Emeishan
5	02801	ACOSTA ORTEGA Yuliana Sarahi	MEX	8.7		. Women's Bajiquan-Group D	Wushu Taolu	Emeishan
6	00714	Patricia FERNANDES LULIA JACOB	GBR	8.65		. Women's Bajiquan-Group D	Wushu Taolu	Emeishan
7	05116	ZHU Ieng Ieng	MAC	8		. Women's Bajiquan-Group D	Wushu Taolu	Emeishan
1	04102	AKYUZ Elif	TUR	8.82	2ND Prize	. Women's Chaquan-Group D	Wushu Taolu	Emeishan
2	03404	HATALOVÁ Hanka	SVK	8.51	3RD Prize	. Women's Chaquan-Group D	Wushu Taolu	Emeishan
3	03406	ONDROVIČOVÁ Lenka	SVK	8.45		. Women's Chaquan-Group D	Wushu Taolu	Emeishan
4	04909	HENEGAMA MILLAGASANGE GEDARA Thiyangi Dimalsha Weerasinghe	LKA	8.34		. Women's Chaquan-Group D	Wushu Taolu	Emeishan
	00301	AIT ZERROUK Melissa	DZA	(DNS)		. Women's Chaquan-Group D	Wushu Taolu	Emeishan
